domain ID	color	abbv	FBbt ID	FBbt name
2		AME_R	FBbt:00045003	accessory medulla
3		LO_R	FBbt:00003852	lobula
4		NO	FBbt:00003680	nodulus
5		BU_R	FBbt:00003682	bulb
6		PB	FBbt:00003668	protocerebral bridge
7		LH_R	FBbt:00007053	lateral horn
8		LAL_R	FBbt:00003681	lateral accessory lobe
9		SAD	FBbt:00045048	saddle
10		CAN_R	FBbt:00045051	cantle
11		AMMC_R	FBbt:00003982	antennal mechanosensory and motor center
12		ICL_R	FBbt:00040049	inferior clamp
13		VES_R	FBbt:00040041	vest
14		IB_R	FBbt:00040050	inferior bridge
15		ATL_R	FBbt:00045039	antler
16		CRE_R	FBbt:00045037	crepine
17		MB_PED_R	FBbt:00007453	pedunculus of adult mushroom body
18		MB_VL_R	FBbt:00015407	vertical lobe of adult mushroom body
19		MB_ML_R	FBbt:00007677	medial lobe of adult mushroom body
20		FLA_R	FBbt:00045050	flange
22		LOP_R	FBbt:00003885	lobula plate
23		EB	FBbt:00003678	ellipsoid body
24		AL_R	FBbt:00007401	adult antennal lobe
25		ME_R	FBbt:00003748	medulla
26		FB	FBbt:00003679	fan-shaped body
27		SLP_R	FBbt:00007054	superior lateral protocerebrum
28		SIP_R	FBbt:00045032	superior intermediate protocerebrum
29		SMP_R	FBbt:00007055	superior medial protocerebrum
30		AVLP_R	FBbt:00040043	anterior ventrolateral protocerebrum
31		PVLP_R	FBbt:00040042	posterior ventrolateral protocerebrum
32		IVLP_R	FBbt:00045027	wedge
33		PLP_R	FBbt:00040044	posterior lateral protocerebrum
34		AOTU_R	FBbt:00007059	anterior optic tubercle
35		GOR_R	FBbt:00040039	gorget
36		MB_CA_R	FBbt:00007385	calyx of adult mushroom body
37		SPS_R	FBbt:00045040	superior posterior slope
38		IPS_R	FBbt:00045046	inferior posterior slope
39		SCL_R	FBbt:00040048	superior clamp
40		EPA_R	FBbt:00040040	epaulette
49		GNG	FBbt:00014013	adult gnathal ganglion
50		PRW	FBbt:00040051	prow
51		GA_R	FBbt:00040060	gall
52		AME_L	FBbt:00045003	accessory medulla
53		LO_L	FBbt:00003852	lobula
54		BU_L	FBbt:00003682	bulb
55		LH_L	FBbt:00007053	lateral horn
56		LAL_L	FBbt:00003681	lateral accessory lobe
57		CAN_L	FBbt:00045051	cantle
58		AMMC_L	FBbt:00003982	antennal mechanosensory and motor center
59		ICL_L	FBbt:00040049	inferior clamp
60		VES_L	FBbt:00040041	vest
61		IB_L	FBbt:00040050	inferior bridge
62		ATL_L	FBbt:00045039	antler
63		CRE_L	FBbt:00045037	crepine
64		MB_PED_L	FBbt:00007453	pedunculus of adult mushroom body
65		MB_VL_L	FBbt:00015407	vertical lobe of adult mushroom body
66		MB_ML_L	FBbt:00007677	medial lobe of adult mushroom body
67		FLA_L	FBbt:00045050	flange
69		LOP_L	FBbt:00003885	lobula plate
70		AL_L	FBbt:00007401	adult antennal lobe
71		ME_L	FBbt:00003748	medulla
72		SLP_L	FBbt:00007054	superior lateral protocerebrum
73		SIP_L	FBbt:00045032	superior intermediate protocerebrum
74		SMP_L	FBbt:00007055	superior medial protocerebrum
75		AVLP_L	FBbt:00040043	anterior ventrolateral protocerebrum
76		PVLP_L	FBbt:00040042	posterior ventrolateral protocerebrum
77		IVLP_L	FBbt:00045027	wedge
78		PLP_L	FBbt:00040044	posterior lateral protocerebrum
79		AOTU_L	FBbt:00007059	anterior optic tubercle
80		GOR_L	FBbt:00040039	gorget
81		MB_CA_L	FBbt:00007385	calyx of adult mushroom body
82		SPS_L	FBbt:00045040	superior posterior slope
83		IPS_L	FBbt:00045046	inferior posterior slope
84		SCL_L	FBbt:00040048	superior clamp
85		EPA_L	FBbt:00040040	epaulette
86		GA_L	FBbt:00040060	gall